ID,pre_nom,pre_denom,Precision,re_nom,re_denom,Recall,F1
163.0,1,1,1.0,1,1,1.0,1.0
164.0,1,2,0.5,1,2,0.5,0.5
165.0,2,2,1.0,2,2,1.0,1.0
166.0,1,1,1.0,1,1,1.0,1.0
170.0,0,2,0.0,0,1,0.0,0.0
173.0,2,2,1.0,2,2,1.0,1.0
176.0,1,1,1.0,1,1,1.0,1.0
177.0,2,2,1.0,2,2,1.0,1.0
178.0,1,1,1.0,1,1,1.0,1.0
179.0,3,3,1.0,3,3,1.0,1.0
180.0,4,4,1.0,4,4,1.0,1.0
181.0,1,3,0.3333333333333333,1,2,0.5,0.4
182.0,1,1,1.0,1,2,0.5,0.6666666666666666
183.0,4,4,1.0,4,4,1.0,1.0
186.0,1,1,1.0,1,1,1.0,1.0
190.0,5,5,1.0,5,5,1.0,1.0
191.0,2,2,1.0,2,2,1.0,1.0
192.0,1,1,1.0,1,2,0.5,0.6666666666666666
193.0,3,3,1.0,3,3,1.0,1.0
